Performing Artist,Presenting Organization,Concert Date,Start Time,End Time,Concert Location,Location,Supervisor District,Year,Contact,Contact Info
Sgt. Peppers Beatles Tribute Band,City of Pomona,09/21/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,City of Pomona Civic Center Plaza,"505 S Garey Avenue
Pomona, CA 91769
(34.054578, -117.75003)",1,2019,Monica Belloso,
The Hodads,City of Glendale,07/18/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Verdugo Park,"1621 Canada Blvd
Glendale 91208
(34.17129, -118.229119)",5,2018,,
Yari Moré Latin Band,Los Angeles County Department of Parks and Recreation - Whittier Narrows Recreation Area,07/15/2016,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Whittier Narrows Recreation Area,"823 Lexington Gallatin Rd
South El Monte, CA 91733
(34.036331, -118.051912)",1,2016,Louie Guerrero,626-575-5526
Boy Katindig & Friends,County of Los Angeles Dept of Parks and Recreation,08/12/2017,4:00 PM,8:00 PM,George Lane Park,"16801 E Avenue
Quartz Hill Park, CA 93536",5,2017,William Champion,(661) 940-7701
The Wiseguys Big Band Machine,CITY OF EL MONTE,07/24/2019,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Tony Arceo Memorial Park,"3125 Tyler Avenue
El Monte, CA 91731
(34.065046, -118.035905)",1,2019,Amber Servin,
Conjunto Jardin,City of San Gabriel (San Gabriel Mission Playhouse),09/14/2017,7:00 PM,9:00 PM,San Gabriel Mission Playhouse,"320 S Mission Drive
San Gabriel, CA 91776
(34.098528, -118.109198)",5,2017,Jonathan Salisbury,626-308-2865
Mariachi Divas,Mortimer and Mimi Levitt Foundation  Inc.,07/14/2019,1899-12-31T20:00:00.000,1899-12-31T21:30:00.000,Levitt Pavilion Los Angeles in MacArthur Park,"2230 W 6th St
Los Angeles, CA 90057
(34.060206, -118.276395)",1,2019,Sharon Yazowski,
Paddy's Pig,Pasadena Senior Center,08/02/2016,1899-12-31T18:00:00.000,1899-12-31T19:00:00.000,Memorial Park Bandshell,"85 E Holly Street
Pasadena, CA 91103
(34.147641, -118.148636)",5,2016,Cynthia Rosedale,626-685-6759
Allensworth,South Pasadena Arts Council,10/04/2018,1899-12-31T17:00:00.000,1899-12-31T18:30:00.000,South Pasadena Public Library,"1115 El
South Pasadena 91030",5,2018,,
Mariachi Espectacular,City of Bell Gardens - Recreation Department,08/09/2018,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Veterans Park,"6662 Loveland St
Bell Gardens 90201
(33.968584, -118.144002)",1,2018,,
De'Anza Paredes,Public Library,07/11/2018,1899-12-31T16:00:00.000,1899-12-31T17:00:00.000,City Terrace Library,"4025 E City Terrace Dr
East, LA 90063
(34.055694, -118.178146)",1,2018,,
Mariachi Divas,Obregon Park,07/05/2019,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Obregon Park,"4021 E 1st St
Los Angeles, CA 90063
(34.036429, -118.178366)",1,2019,Erica Rascon,
Susie Hansen Latin Band,City Terrace Park,07/30/2015,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,City Terrace Park,"1126 N Hazard Ave
Los Angeles, CA 90063
(34.049422, -118.179415)",5,2015,Alice Gonzales,323-260-2371
Michael Haggins Group,Jackie Robinson Park,08/08/2015,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Jackie Robinson Park,"8773 East Avenue
Littlerock, CA 93543
(34.572318, -117.972294)",2,2015,Peg Lee,661-944-2880
,County of Los Angeles Dept of Parks and Recreation,07/12/2017,7:00 PM,9:00 PM,Don Knabe Regional Park (Formerly- Cerritos Regional Park),"19700 S Bloomfield Ave
Cerritos, CA 90703
(33.849175, -118.063364)",4,2017,Angel Baltazar,562-924-5144
Conganas,Woodcrest Library,07/27/2019,1899-12-31T11:00:00.000,1899-12-31T13:00:00.000,Woodcrest Library,"1340 W 106th St
Los Angeles, CA 90044
(33.940028, -118.299854)",2,2019,Lyda Truick,
Soft Streak,Public Library,08/04/2018,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Temple City Library,"5939 Golden West Avenue
Temple City 91780
(34.108497, -118.056813)",5,2018,,
Sgt. Pepper,CIty of Gardena,10/03/2015,1899-12-31T12:00:00.000,1899-12-31T14:30:00.000,Nakaoka Community Center,"1670 West 162nd Street
Gardena, CA 90247
(33.883775, -118.306521)",4,2015,Evette Wedlow-Benjamin,310-217-6175
Sgt. Peppers Beatles Tribute Band,Parks and Rec,08/22/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,don knabe regional park,"19700 bloomfield ave
cerritos, CA 90703
(33.849175, -118.063364)",4,2019,John Baker,
Upstream,County of Los Angeles Dept of Parks and Recreation,08/05/2017,7:00 PM,9:00 PM,Val Verde park,"30300 W Arlington Rd
Val Verde, CA 91384",5,2017,Mari Roman,(661) 257-4014
Mariachi Divas,City of Norwalk,08/07/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,City of Norwalk Civic Center Lawn,"12700 Norwalk Blvd
Norwalk, CA 90650
(33.915789, -118.071839)",4,2019,PATI Escano,
Boogaloo Assasins,Madison Project dba The Broad Stage,09/01/2019,5:30 PM,6:30 PM,The Broad Stage,"1310 11th Street
CA, CA 90401
(34.022883, -118.489818)",3,2019,Pamela Sullivan,
INCA The Peruvian Music and Dance Ensemble,Los Angeles County Museum of Art,07/21/2018,1899-12-31T17:00:00.000,1899-12-31T19:00:00.000,Los Angeles County Museum of Art,"5905 Wilshire Blvd
Los Angeles 90036
(34.06263, -118.357831)",3,2018,,
Gyasi Ross,Ted Watkins Memorial Park,07/23/2015,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Ted Watkins Memorial Park,"1335 E 103rd Street
Los Angeles, CA 90002
(33.94327, -118.251396)",5,2015,Tenesha Ware,323-357-3032
Cuicani,Glendale Arts,09/17/2016,1899-12-31T20:00:00.000,1899-12-31T21:00:00.000,Glendale Central Park,"230 South Brand Blvd
Glendale, CA 91204
(34.143312, -118.254933)",5,2016,Jess Castillo,818-243-2611
Maggie McClure,County of Los Angeles Dept of Parks and Recreation,07/15/2017,6:30 PM,8:30 PM,Richard Rioux Park,"26233 W Faulkner Drive
CA, CA 91381
(34.389667, -118.59447)",5,2017,Doug Newell,661-222-9536
Mariachi Divas,City of Norwalk,08/05/2015,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,City of Norwalk Civic Center Lawn,"12700 Norwalk Boulevard
Norwalk, CA 90650
(33.915789, -118.071839)",1,2015,Blanche Grove,562-929-5519
Marisa Ronstadt & The Know-It-Alls,"West Covina Community Services Foundation, Inc.",07/21/2016,6:00 PM,9:00 PM,West Covina Civic Center,"1444 West Garvey Avenue South
West Covina, CA 91790
(34.072144, -117.938853)",1,2016,Nikole Bresciani,626-939-8456
Nancy Sanchez,Quartz Hill Library,09/20/2017,3:30 PM,4:30 PM,Quartz Hill Library,"5040 W Ave
Quartz Hill, CA 93536",5,2017,Vickie Raymundi,661-943-0872
Incendio,Public Library,06/30/2018,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Montebello Library,"1550 W Beverly Blvd
Montebello 90650
(34.019334, -118.115914)",1,2018,,
Paddy's Pig,Pasadena Senior Center,08/08/2017,6:00 PM,7:00 PM,Memorial Park Bandshell,"85 E Holly Street
Pasadena, CA 91103
(34.147641, -118.148636)",5,2017,Marie Cantor,626-685-6709
Mariachi Divas,Athens Park- LAC Parks,07/13/2019,1899-12-31T19:00:00.000,1899-12-31T21:30:00.000,Athens County Park,"12603 S Broadway
Ca, CA 90061
(33.918217, -118.278296)",2,2019,Guillermo Pedroza,
South of Ziggy,Pasadena Arts Council,09/17/2015,1899-12-31T19:00:00.000,1899-12-31T20:30:00.000,South Pasadena Public Library,"1115 El
South Pasadena, CA 91030",5,2015,Howard Spector,310-741-7650
Adelaid,Don Knabe Regional Park LAC Parks,09/14/2019,1899-12-31T14:00:00.000,1899-12-31T17:00:00.000,Victoria Community Regional Park,"419 E MLK JR St
Carson, CA 90746",4,2019,Angel Baltazar,
Shane Henry,City of La Mirada,07/28/2016,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,La Mirada Creek Park,"12021 Santa Gertrudes Avenue
La Mirada, CA 90638
(33.922716, -117.994394)",4,2016,Lisa Montoya,562-902-3125
Cuicani,Public Library,09/22/2018,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Culver City Julian Dixon Library,"4975 Overland Ave
Culver City 90230
(34.007785, -118.396706)",2,2018,,
Upstream,Altadena Rotary Charities,08/10/2019,7:00 PM,9:00 PM,Farnsworth Park,"568 Mount Curve Ave E
Altadena, CA 91001
(34.201348, -118.1318)",5,2019,Craig Cox,
Lisa Haley and the Zydekats,Public Library,09/15/2018,1899-12-31T14:00:00.000,1899-12-31T16:00:00.000,Hacienda Heights Library,"16010 La Monde St
Hacienda Heights 91745
(33.993727, -117.963699)",4,2018,,
Yolanda Johnson,Parks & Recreation,07/27/2018,1899-12-31T18:00:00.000,1899-12-31T22:00:00.000,Helen Keller Park,"12521 S Vermont Ave
Los Angeles 90044
(33.918736, -118.291833)",2,2018,,
Boogaloo Assassins,Glendale Arts,09/16/2017,2:00 PM,10:00 PM,Brand Boulevard,"216 North Brand Boulevard
Glendale, CA 91203
(34.148787, -118.25496)",5,2017,Jess Castillo,818-243-2611
Jungle Fire,Mortimer and Mimi Levitt Foundation  Inc.,08/31/2018,1899-12-31T20:00:00.000,1899-12-31T21:30:00.000,Levitt Pavilion Los Angeles in MacArthur Park,"W S 6th Street
Los Angeles 90057",1,2018,,
The Kings of 88,City of Norwalk Senior Center,07/06/2017,5:00 PM,9:00 PM,Norwalk Senior Center,"14040 San Antonio Dr
Norwalk, CA 90650
(33.903928, -118.080644)",4,2017,Daniel Abrego,562 929 5666
Brasil Brazil Show,View Park Bebe Moore Campbell Library,08/03/2019,1899-12-31T15:00:00.000,1899-12-31T16:00:00.000,View Park Bebe Moore Campbell Library,"3854 W 54th Street
Los Angeles, CA 90043
(33.993053, -118.341289)",2,2019,Camille Ray,
Domingosiete,City of Whittier,07/13/2015,1899-12-31T19:00:00.000,1899-12-31T20:30:00.000,Central Park,"6532 Friends Avenue
Whittier, CA 90602
(33.981699, -118.033844)",4,2015,Virginia Santana,562-567-9414
Conjunto Jardin,County of Los Angeles Dept of Parks and Recreation,08/03/2017,6:00 PM,10:00 PM,Roosevelt Park,"7600 graham avenue
LA, CA 90001
(33.970204, -118.243026)",2,2017,Charlotte Robinson-Perkins,(323) 586-7217
Maria de la Vega & the Wayward Five,La Crescenta Library,07/27/2019,2:00 PM,3:30 PM,La Crescenta Library,"2809 Foothill Blvd
La Crescenta, CA 91214
(34.224587, -118.240654)",5,2019,Marta Wiggins,
Viento Callejero,City of Bell,08/20/2015,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Bell Community Center/Treder Park,"6250 Pine Ave
Bell, CA 90201
(33.979983, -118.188847)",5,2015,Connie Hurtado,323-773-1596
Blue Breeze Band,City of Paramount,07/11/2019,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Progress Park,"15500 Downey ave
Paramount, CA 90723
(33.891666, -118.15133)",4,2019,Leslie Velasquez,
Sgt. Pepper,City of Duarte,07/19/2017,6:30 PM,8:30 PM,Duarte Park,"1344 Bloomdale Ave
Duarte, CA 91010
(34.137459, -117.976472)",5,2017,Lupe Valerio,(626)3577931)
Trio America Music,Rosemead Library,09/24/2016,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Rosemead Library,"8800 Valley Blvd
Rosemead, CA 91770
(34.080694, -118.077092)",1,2016,Steve Smith,626-573-5222
Upstream,Quartz Hill Library,08/17/2019,2:00 PM,3:30 PM,Quartz Hill Library,"5040 West Avenue
Quartz Hill, CA 93536
(34.733025, -118.212676)",5,2019,Daria Bounds,
The Lorie Andrews JazHarp Band,Los Angeles County Department of Parks and Recreation,08/06/2016,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Jackie  Robinson Park,"8773 East Avenue
Littlerock, CA 93543
(34.572318, -117.972294)",5,2016,Jeff Dorst,661-940-7701
Ciro Hurtado Group,Public Library,09/22/2018,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Rosemead Library,"8800 Valley Blvd
Rosemead 91770
(34.080694, -118.077092)",1,2018,,
Mariachi Divas,Parks & Recreation,07/07/2018,1899-12-31T16:00:00.000,1899-12-31T20:00:00.000,Athens Park,"12603 S Broadway
Los Angeles 90061
(33.918217, -118.278296)",2,2018,,
Opa Opa,"City of Azusa, Recreation and Family Services Department",08/25/2016,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Memorial Park,"320 N Orange Pl
Azusa, CA 91702
(34.127075, -117.913564)",1,2016,Adrian Martinez,626-812-5195
Hodads,LA County,09/16/2017,6:00 PM,10:00 PM,Castaic Regional Sports Complex,"31230 Castaic Road
Castaic, CA 91384
(34.483198, -118.614523)",5,2017,Leah Ferrassoli,661-775-8865
Conjunto Jardin,El Sereno Community Arts-Community Partners,10/20/2018,1899-12-31T15:00:00.000,1899-12-31T19:00:00.000,Huntington Drive,"4976 Huntington Drive South
Los Angeles 90032
(34.087801, -118.174224)",1,2018,,
Mahadev,County of Los Angeles Public Library - Stevenson Ranch Library,06/18/2016,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Stevenson Ranch Library,"25950 The Old Road
Stevenson Ranch, CA 91381
(34.392358, -118.573984)",5,2016,Matt Gill,661-255-2707
Upstream,El Monte Library,08/05/2017,2:00 PM,3:00 PM,El Monte Library,"3224 Tyler Ave
El Monte, CA 91731
(34.067072, -118.035976)",1,2017,Maribel Lopez,(626) 444-9506
De'Anza,County of Los Angeles Public Library,08/22/2017,5:30 PM,6:30 PM,El Camino Real Library,"4264 East Whittier Blvd
Los Angeles, CA 90023",1,2017,Tiffany Chow,(323) 269-8102
Mariachi Espectacular,City of La Puente,07/27/2016,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,La Puente Park,"501 N Glendora Ave
La Puente, CA 91744
(34.026159, -117.951127)",1,2016,Angel Morales,626-855-1558
Louie Cruz Beltran,CITY OF EL MONTE,07/31/2019,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Tony Arceo Memorial Park,"3125 Tyler Avenue
El Monte, CA 91731
(34.065046, -118.035905)",1,2019,Amber Servin,
Mariachi Divas,City of Baldwin Park,09/12/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Morgan Park,"4100 Baldwin Park Blvd
Baldwin Park, CA 91706
(34.086376, -117.964748)",1,2019,April Rojo,
Susie Hansen Latin Band,"City of South Gate, Parks and Recreation Dept",07/21/2017,6:00 PM,8:00 PM,South Gate Park,"9520 Hildreth Ave
South Gate, CA 90280
(33.946597, -118.187842)",1,2017,Armando Ayala,323-357-9636
Chris Ho Band,Pearblossom Park,07/17/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Pearblossom Park,"33922 N 121st East
Pearblossom, CA 93553",5,2015,Jeff Dorst,661-940-7701
Buyepongo,"City of San Fernando, Inc.",08/28/2016,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,San Fernando Recreation Park,"208 Park Ave
San Fernando, CA 91340
(34.281019, -118.434699)",3,2016,Virginia Diediker,818-361-7155
Finger Dancers,Temple City Library,08/08/2015,1899-12-31T11:00:00.000,1899-12-31T12:00:00.000,Temple City Library,"5939 Golden West Ave
Temple City, CA 91780
(34.108497, -118.056813)",2,2015,Grace Yang,626-285-2136
Opa Opa,LA County Parks and Recreation,07/18/2019,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,Roosevelt Park,"7600 Graham Ave
Los Angeles, CA 90001
(33.970204, -118.243026)",2,2019,Steven Rios,
Cunao,Lawndale Library,08/08/2015,1899-12-31T12:00:00.000,1899-12-31T13:00:00.000,Lawndale Library,"14615 Burin Avenue
Lawndale, CA 90260
(33.898831, -118.353778)",4,2015,Don Gould,310-676-0178
Mariachi Divas,City of Inglewood,09/17/2016,1899-12-31T14:00:00.000,1899-12-31T16:00:00.000,Crozier Middle School,"120 W Regent Street
Inglewood, CA 90301
(33.964416, -118.355631)",2,2016,Teresa Estrada,310-412-5396
California Feet Warmers,MUSE/IQUE,10/09/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Plaza of the Pasadena Civic Auditorium,"300 E Green Street
Pasadena, CA 91101
(34.144512, -118.144234)",2,2015,Eugene Hutchins,626-844-7703
Brasil Brazil,East Rancho Dominguez Library,08/27/2016,1:00 PM,2:30 PM,East Rancho Dominugez Library,"4420 E Rose St
East Rancho Dominguez, CA 90221
(33.894251, -118.193644)",2,2016,Camille Ray,310-632-9664
Ricardo Lemvo and Makina Loca,Lummis Day Community Foundation,06/02/2019,1899-12-31T18:00:00.000,1899-12-31T19:00:00.000,Sycamore Grove Park,"4702 N Figueroa Street
Los Angeles, CA 90042
(34.10023, -118.203755)",1,2019,jain sekuler,
Upstream,East Rancho Dominguez Library,10/07/2017,1:00 PM,2:00 PM,East Rancho Dominugez Library,"4420 E Rose St
East Rancho Dominguez, CA 90221
(33.894251, -118.193644)",2,2017,Camille Ray,(310) 632-9664
Susie Hansen Latin Band,City of Pico Rivera,08/05/2016,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Smith Park,"9200 Mines Avenue
Pico Rivera, CA 90660
(33.990126, -118.086423)",1,2016,Efrain Lee,562-755-0470
Opa Opa,Willmore City Heritage,10/14/2017,2:00 PM,5:00 PM,Cesar Chavez Park,"401 Golden Ave
Long Beach, CA 90802
(33.771699, -118.20184)",4,2017,Isaac Salgado,(562) 972-9778
Cunao,City of South Gate,07/03/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,South Gate Park,"4900 Southern Ave
South Gate, CA 90280
(33.947235, -118.182894)",1,2015,Armando Ayala,323-357-9636
Mariachi Espectacular,Parks & Recreation,07/14/2018,1899-12-31T19:00:00.000,1899-12-31T21:30:00.000,East Rancho Dominiguez County Park,"15116 S Atlantic Blvd
Compton 90021",2,2018,,
Conganas,Parks and Rec,07/12/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Mayberry park,"13201 E Meyer Rd
Whittier, CA 90605
(33.929237, -118.051323)",4,2019,John Baker,
Malynda Hale,Campanella Park / LA County Parks and Recreation,08/19/2017,6:00 PM,8:00 PM,Campanella Park,"14812 Stanford Ave
Compton, CA 90220
(33.897956, -118.261015)",2,2017,Craig Newman,310-603-3720
Jessica Fichot,Eagle Rock Community Cultural Association,08/19/2018,1899-12-31T15:00:00.000,1899-12-31T16:00:00.000,Center for the Arts Eagle Rock,"2225 Colorado Blvd
Los Angeles 90041
(34.139261, -118.214975)",1,2018,,
Lisa Haley & The Zydekats,County of Los Angeles Department of Parks and Recreation,08/02/2019,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Stephen Sorensen Park,"16801 East Ave
Lake Los Angeles, CA 93591",5,2019,Regina Bradley,
Nancy Sanchez,Public Library,08/04/2018,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,San Gabriel Library,"500 S Del Mar Ave
San Gabriel 91776
(34.095579, -118.09958)",5,2018,,
Carolina Hoyos,Montebello Library- LAC- Libraries,08/10/2019,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Montebello Library,"1550 W Beverly Blvd
Montebello, CA 90650
(34.019334, -118.115914)",1,2019,Beth Krupsaw,
Western Standard Time Ska Orchestra,Mortimer and Mimi Levitt Foundation  Inc.,08/23/2019,1899-12-31T20:00:00.000,1899-12-31T21:30:00.000,Levitt Pavilion Los Angeles in MacArthur Park,"2230 W 6th St
Los Angeles, CA 90057
(34.060206, -118.276395)",1,2019,Sharon Yazowski,
De'Anza,Anthony Quinn Library,09/07/2019,1899-12-31T13:00:00.000,1899-12-31T14:00:00.000,Anthony Quinn Library,"3965 Cesar E Chavez Ave
LOS ANGELES, CA 90063
(34.04055, -118.180177)",1,2019,Mariko Farinacci,
Big Papa & the TCB,County of Los Angeles Dept of Parks and Recreation,07/15/2017,7:00 PM,9:00 PM,Bethune Park,"1244 E 61st Street
LA, CA 90001
(33.98432, -118.253087)",2,2017,Maurice Hunter,(323) 846-1895
Upstream,Anthony Quinn Public Library,08/04/2015,1899-12-31T16:00:00.000,1899-12-31T17:00:00.000,Anthony Quinn Public Library,"3965 Cesar E Chavez Ave
Los Angeles, CA 90063
(34.04055, -118.180177)",2,2015,Maribel Lopez,323-264-7715
Conjunto Los Pochos,City of Artesia,08/06/2015,1899-12-31T18:30:00.000,1899-12-31T20:00:00.000,AJ Padelford Park,"11870 169th st
Artesia, CA 90701
(33.877461, -118.079886)",1,2015,Jose Martinez,562-407-1723
Susie Hansen Latin Band,Los Angeles County Department of Beaches & Harbors,10/09/2016,1899-12-31T11:00:00.000,1899-12-31T16:00:00.000,Burton Chace Park,"13650 Mindanao Way
Marina del Rey, CA 90292
(33.977946, -118.444032)",4,2016,Monica-Sarah Roldan,310-305-9548
Along for the Ride,City of Santa Fe Springs,07/14/2018,1899-12-31T18:00:00.000,1899-12-31T19:30:00.000,Santa Fe Springs City Library,"11700 Telegraph Rd
Santa Fe Springs 90670
(33.946492, -118.084187)",4,2018,,
Cunao,City of South El Monte,08/13/2015,1899-12-31T18:00:00.000,1899-12-31T19:00:00.000,Mary Van Dyke Park,"1819 Central Ave
South El Monte, CA 91733
(34.049673, -118.046924)",5,2015,Ariana Yanez,626-579-2043
Nancy Sanchez,City of Artesia,07/13/2017,6:30 PM,8:00 PM,A.J. Padelford Park,"11870 169th Street
Artesia, CA 90701
(33.877461, -118.079886)",4,2017,Jose J. Martinez,(562) 407-1723
The Hodads,City of Norwalk,07/25/2018,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Norwalk City Hall Lawn,"12700 Norwalk Blvd
Norwalk 90650
(33.915789, -118.071839)",4,2018,,
Upstream,San Gabriel Library,09/12/2015,1899-12-31T14:00:00.000,1899-12-31T16:00:00.000,San Gabriel Library,"500 S Del Mar Avenue
San Gabriel, CA 91776
(34.095579, -118.09958)",5,2015,Lisa Zimmerman,626-287-0761
Lao Tizer Band,Friends of the Levitt Pavilion - Greater Los Angeles & Pasadena,07/23/2017,8:00 PM,10:00 PM,Levitt Pavilion Pasadena,"85 E Holly Street
Pasadena, CA 91103
(34.147641, -118.148636)",5,2017,Renee Bodie,(818) 621-8309
Rosalie Elena,Public Library,08/04/2018,1899-12-31T13:00:00.000,1899-12-31T14:00:00.000,East Rancho Dominguez Library,"4420 E Rose Street
East Rancho Dominguez 90221
(33.894251, -118.193644)",2,2018,,
Sgt. Pepper,City of Covina,07/20/2015,1899-12-31T19:30:00.000,1899-12-31T21:00:00.000,Covina Park,"301 N Fourth Avenue
Covina, CA 91723
(34.088096, -117.894507)",5,2015,Melody Hynes,626-384-5344
Gloria Arjona,Rosemead Library,09/28/2019,1899-12-31T14:00:00.000,1899-12-31T15:00:00.000,Rosemead Library,"8800 Valley Blvd
Rosemead, CA 91770
(34.080694, -118.077092)",1,2019,Steve Smith,
Jason Arimoto,Sorensen Library,10/12/2016,3:00 PM,4:00 PM,Sorensen Library,"6934 Broadway Ave
Whittier, CA 90606
(33.979664, -118.062738)",4,2016,Muoy Li,562-695-3979
Lisa Haley & The Zydekats,Dalton Park- LAC Parks,07/19/2019,1899-12-31T18:30:00.000,1899-12-31T20:00:00.000,Dalton Park,"18867 E Armstead St
Azusa, CA 91702
(34.118112, -117.882007)",1,2019,Angie Calleros,
Sgt. Pepper,County of Los Angeles Dept of Parks and Recreation,07/22/2017,7:00 PM,8:30 PM,Adventure County Park,"10130 Gunn Ave
Whittier, CA 90605
(33.943007, -118.0365)",4,2017,Dingo Cabral,562-6987645
Mariachi Divas,City of South El Monte,08/22/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,South El Monte City Hall,"1415 N Santa Anita Ave
South El Monte, CA 91733
(34.044311, -118.045868)",1,2019,Jayson Perez,
Nancy Sanchez,County of Los Angeles Dept of Parks and Recreation,08/04/2017,7:00 PM,9:00 PM,Stephen Sorenson Park,"16801 E Avenue
Lake Los Angeles, CA 93591
(34.587212, -117.830297)",5,2017,William Champion,(661) 940-7701
Upstream,Val Verde Park- LAC Parks,08/03/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Val Verde Park,"30300 Arlington Rd
castaic, CA 91384
(34.446789, -118.663978)",5,2019,Mister Johnson,
Gyasi Ross,Apollo Park,07/25/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Apollo Park,"4555 West Ave
Lancaster, CA 93536
(34.733203, -118.205282)",5,2015,Jeff Dorst,661-940-7701
"INCA, the Peruvian Ensemble",Pasadena Senior Center,08/11/2015,1899-12-31T18:00:00.000,1899-12-31T19:00:00.000,Memorial Park Bandshell,"85 E Holly Street
Pasadena, CA 91103
(34.147641, -118.148636)",5,2015,Cynthia Rosedale,626-685-6724
Cuicani,Friends of McGroarty Cultural Arts Center,07/28/2018,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,McGroarty Arts Center,"7570 McGroarty Terrace
Tujunga 91042
(34.250669, -118.29777)",5,2018,,
The Hodads,Parks & Recreation,08/02/2018,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Pathfinder Park,"18150 Pathfinder Road
Rowland Heights 91748
(33.967888, -117.912607)",4,2018,,
The Jumpin' Joz Band,City of Culver City,08/29/2015,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Veterans Park,"4117 Overland Avenue
Culver City, CA 90230
(34.0134, -118.402106)",3,2015,Susan Obrow,310-253-6628
Lisa Haley & the Zydekats,Temple City Library,08/13/2016,1899-12-31T11:00:00.000,1899-12-31T12:00:00.000,Temple City Library,"5939 Golden West Avenue
Temple City, CA 91780
(34.108497, -118.056813)",5,2016,Rama Shah,626-285-2136
Yari More Latin Band,City of Pico Rivera,07/26/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Pico Rivera Senior Center,"9200 Mines Avenue
Pico Rivera 90660
(33.990126, -118.086423)",1,2018,,
Sgt. Pepper,"West Covina Community Services Foundation, Inc.",08/17/2017,6:00 PM,9:00 PM,West Covina Civic Center,"1444 West Garvey Avenue South
West Covina, CA 91790
(34.072144, -117.938853)",1,2017,Nikole Bresciani,(626) 939-8456
Michael Haggins band,Parks & Recreation,07/11/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Don Knabe Regional Park,"19700 S Bloomfield Ave
Cerritos 90703
(33.849175, -118.063364)",4,2018,,
Iliana Rose Band,City of La Mirada,07/30/2015,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,La Mirada Creek Park,"12021 Santa Gertrudes Avenue
La Mirada, CA 90638
(33.922716, -117.994394)",1,2015,Lisa Montoya,562-902-3125
Adelaid,City of Monterey Park,08/11/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Barnes Park Amphitheater,"350 S McPherrin Ave
Monterey Park, CA 91754
(34.058336, -118.127524)",1,2019,Memo Chavez,
El Haru Kuroi,Eagle Rock Cultural Association,10/03/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Colorado Blvd.,"2225 Colorado Blvd
Los Angeles, CA 90041
(34.139261, -118.214975)",5,2015,Melinda Ann Farrell,323-561-3044
"Kings of 88, The",Steinmetz Park -LA County Parks and Recreation,07/27/2019,1899-12-31T19:00:00.000,1899-12-31T21:00:00.000,Steinmetz Park,"1545 S Stimson Ave
Hacienda Heights, CA 90740
(34.002258, -117.960003)",4,2019,Margaret Trujillo,
Michael Haggins Group,Jesse Owens Park,07/16/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Jesse Owens park,"9651 S Western Ave
Los Angeles, CA 90047
(33.946143, -118.309002)",1,2015,Reggie Hamilton,323-241-6704
